Stock,Ticker,current_price,forecasted_price,forecasted_price_change,percent_change,current_volatility,forecasted_volatility,forecasted_volatility_change,model_error_last_week,model_mda_last_week
HSIC,Henry Schein,75.63999938964844,75.14425596003304,-0.49574342961540196,-0.6553985108614979,0.0014969654438837,0.0141542050170007,179.34695184756734,74.76665609759604,42.857142857142854
HSY,Hershey's,193.57000732421875,194.16715917488784,0.5971518506690927,0.30849399600884314,0.0090438899881919,0.0132644666550225,3.5055692641760783,195.38343616450632,42.857142857142854
HES,Hess Corporation,146.67999267578125,138.3386307355301,-8.341361940251147,-5.6867755363805745,0.0104855452363355,0.0186525231065827,9.039687618919267,138.2488365073134,57.14285714285714
HPE,Hewlett Packard Enterprise,15.010000228881836,14.771967147126826,-0.2380330817550096,-1.5858299675238698,0.0192378566362933,0.0183761029644018,116.05004856883092,14.278661077259576,57.14285714285714
HLT,Hilton Worldwide,197.08999633789065,186.39307319052932,-10.696923147361332,-5.427430791069959,0.0067845820522389,0.0132118006983539,52.17901692777935,186.26418623550293,57.14285714285714
HOLX,Hologic,74.58000183105469,73.52634041653793,-1.0536614145167533,-1.4127934951028853,0.0076259382545692,0.0127117630976707,207.79936260607244,72.60311488328162,42.857142857142854
HD,Home Depot (The),362.5700073242188,353.62064021781924,-8.949367106399563,-2.4683142360412687,0.0020535386820838,0.0116373680339291,346.44263980883284,353.23994392967285,71.42857142857143
HON,Honeywell,198.94000244140625,191.04523497351073,-7.8947674678955195,-3.9684162918519936,0.0091111834106969,0.0123870926175359,193.15474602786787,190.68763156706967,57.14285714285714
HRL,Hormel Foods,29.440000534057617,32.19718824301433,2.757187708956714,9.36544721107279,0.0138127798861709,0.0138739497389115,272.6806953680331,32.339353202592385,57.14285714285714
HST,Host Hotels & Resorts,19.65999984741211,18.651809792104533,-1.0081900553075762,-5.128128500165205,0.0042703527741521,0.01916927234104,-11.518617617771183,17.945850125223092,71.42857142857143
HWM,Howmet Aerospace,63.11000061035156,58.5246160712574,-4.585384539094164,-7.265701940655743,0.0083039489003555,0.017593214326245,1230.6373985721625,56.261822053979586,57.14285714285714
HPQ,HP Inc.,28.6299991607666,28.567455844036104,-0.06254331673049762,-0.21845378471475632,0.0122828349862738,0.0158124336719288,155.33193457484188,27.863323223681558,42.857142857142854
HUBB,Hubbell Incorporated,355.3500061035156,339.5943646007694,-15.755641502746244,-4.433837408787473,0.0073641068627734,0.0180006099595636,291.5123559746354,325.5300345784641,57.14285714285714
HUM,Humana,367.1400146484375,428.1597253806543,61.01971073221682,16.620283351747293,0.0052647752893932,0.0168924852564321,3560.0543521740697,432.88257712844825,57.14285714285714
HBAN,Huntington Bancshares,12.760000228881836,12.822133822769166,0.06213359388732975,0.4869403822320663,0.0077197813135914,0.0173975546603839,43.31703939420508,11.923944791810204,71.42857142857143
HII,Huntington Ingalls Industries,284.79998779296875,269.22368493707273,-15.576302855896017,-5.469207697866541,0.000967760305033,0.0143051155501409,60.02072317647179,262.00222280018096,71.42857142857143
IBM,IBM,183.44000244140625,180.37580214575365,-3.064200295652597,-1.670410082245476,0.0189148566123915,0.0140805689310719,876.7449523513486,180.0080367065709,42.857142857142854
IEX,IDEX Corporation,230.3500061035156,224.27637855513916,-6.073627548376436,-2.6366951975017727,0.0095489723406287,0.0134623878049619,2616.9172394111138,221.6211788289763,57.14285714285714
IDXX,Idexx Laboratories,551.2100219726562,540.0383018710205,-11.171720101635742,-2.026762877361097,0.0111838858990144,0.0222845531911321,120.96613635459417,540.9955215485604,42.857142857142854
ITW,Illinois Tool Works,255.6000061035156,246.52273778232723,-9.07726832118837,-3.5513568483688385,0.012720555697673,0.0112952138285465,442.391942917485,245.54423503265804,71.42857142857143
ILMN,Illumina,140.0500030517578,138.97914730957223,-1.0708557421855858,-0.7646238620857675,0.0037687660440878,0.0301612425443822,1524.140650044425,140.52298700974123,0.0
INCY,Incyte,58.81999969482422,58.24492703385353,-0.5750726609706902,-0.9776821896537563,0.0226306593209297,0.0164780677528716,119.45583154577884,58.23451518493948,0.0
IR,Ingersoll Rand,86.73999786376953,82.27206019684468,-4.467937666924854,-5.150954319761483,0.0353157773262056,0.0155929358383773,-60.646607330717764,79.3815144875252,71.42857142857143
